PLAYER_NAME,GP,PTS,REB,AST,WEIGHTED_PTS,WEIGHTED_REB,WEIGHTED_AST
Donovan Mitchell,71.0,24.0,4.5,5.0,24.6,6.5,6.3
Tyrese Maxey,52.0,26.3,3.3,6.1,24.6,6.5,6.3
Paolo Banchero,46.0,25.9,7.5,4.8,24.6,6.5,6.3
Jaylen Brown,63.0,22.2,5.8,4.5,24.6,6.5,6.3
Julius Randle,69.0,18.7,7.1,4.7,24.6,6.5,6.3
Bam Adebayo,78.0,18.1,9.6,4.3,24.6,6.5,6.3
Trae Young,76.0,24.2,3.1,11.6,24.6,6.5,6.3
Scottie Barnes,65.0,19.3,7.7,5.8,24.6,6.5,6.3
LeBron James,70.0,24.4,7.8,8.2,24.6,6.5,6.3
Kevin Durant,62.0,26.6,6.0,4.2,24.6,6.5,6.3
Nikola Jokic,70.0,29.6,12.7,10.2,24.6,6.5,6.3
Luka Doncic,22.0,28.1,8.3,7.8,24.6,6.5,6.3
Shai Gilgeous-Alexander,76.0,32.7,5.0,6.4,24.6,6.5,6.3
Stephen Curry,70.0,24.5,4.4,6.0,24.6,6.5,6.3
Anthony Edwards,79.0,27.6,5.7,4.5,24.6,6.5,6.3
